web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,Unnamed: 11
1569538770-19476,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@ultrabasic_com,Ultrabasic  👕,"The movie ""Hustlers"" with JLo in the lead role wins the audience, they are anticipating him an Oscar  
Read more on our blog  https://buff.ly/2N7Z3qi 
#hustlers #jenniferlopez #news #movie",,,,1568098188000,11:49 PM - 9 Sep 2019,/ultrabasic_com/status/1171314815320698880,
1569538770-19497,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@QueenAnnaMich,A. Michaels  🧸,"With a nuanced script, standout performances, and the adrenaline of a well-executed heist, #Hustlers is an entertaining ride with something meaningful to say about power and control.

Our review: http://bit.ly/2HYVq1R pic.twitter.com/9qdFgfxXlZ",,,,1568092447000,10:14 PM - 9 Sep 2019,/QueenAnnaMich/status/1171290735020269568,
1569538770-19209,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@_yung_kate_,katie,Never think Hustlers would have a high score of (96%) on Rotten Tomatoes and positive reviews so far. JLo killed her entrance performance though in this film. Check out when it’s out this Friday. #Hustlers #HustlersMovie #film #movies #TIFF19pic.twitter.com/EVkKba9aIC,,,2.0,1568141494000,11:51 AM - 10 Sep 2019,/_yung_kate_/status/1171496451676884992,
1569538770-19529,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@ThePerezHilton,Perez,"Fuck yes, Jen!!! https://tinyurl.com/yyhf36sv  #JenniferLopez #Hustlers",8.0,20.0,128.0,1568086803000,8:40 PM - 9 Sep 2019,/ThePerezHilton/status/1171267061542195201,
1569538770-19585,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@Heybae97,HHZ,"Totally gonna watch #Hustlers , #KnivesOut , and #TheLighthousehttps://twitter.com/getFANDOM/status/1171120065908858880 …",,,,1568076491000,5:48 PM - 9 Sep 2019,/Heybae97/status/1171223811384987648,
1569538770-19248,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@jordanm785,That Effing Guy Tweets...,"I’m in utter shock that #Hustlers is standing well with a 94% MEGA FRESH rating over on @RottenTomatoes..... SHOCKED!!! I think the trailers look okay, nothing special. Generally thought the movie would’ve been a 15% to 20% rating kind of movie.... Fair play to them!!!",,,,1568137007000,10:36 AM - 10 Sep 2019,/jordanm785/status/1171477633277648896,
1569538770-19132,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@ribettefan,DJ Deb DPoma  🏳️‍🌈,"Just found out that Costume Designer, Mitchell Travers, is from my hometown of Swansea, MA!! Pretty cool and this is a VERY cool interview! Check it out! #Hustlers #jlo #CardiB @HustlersMovie @JLo @ConstanceWu @iamcardib 
https://www.cosmopolitan.com/entertainment/movies/a28864142/hustlers-movie-cardi-b-jennifer-lopez-costumes/ …pic.twitter.com/offN0xjuzD",,,,1568151045000,2:30 PM - 10 Sep 2019,/ribettefan/status/1171536515194740738,
1569538770-19474,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@ritiktiwari32,Ritik Tiwari,"Find something about yourself and work on it everyday.

#hustle #hustlers #quoteoftheday",,,1.0,1568098973000,12:02 AM - 10 Sep 2019,/ritiktiwari32/status/1171318107157258240,
1569538770-19154,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@thinkmagfl,THINK Magazine,#JenniferLopez is one fierce lady!  Read all about everything she’s accomplished plus her upcoming movie “ #Hustlers ”—in theaters Friday!  http://bit.ly/2mbFdyt pic.twitter.com/sgHqFAqxEg,,,1.0,1568147984000,1:39 PM - 10 Sep 2019,/thinkmagfl/status/1171523674333073408,
1569538770-19370,https://twitter.com/search?f=tweets&q=%23hustlers%20since%3A2019-09-10%20until%3A2019-09-11&src=typd,@Hustlersthaisub,ดู Hustlers 2019 หนังเต็ม,"ดู Hustlers 2019 หนังเต็ม @Hustlersthaisub 
เสริมความสนุกด้วยมิตรภาพของเพื่อนหญิงพลังหญิง ที่ลุกขึ้นมาต่อสู้เพื่อความอยู่รอดท่ามกลางวิกฤตเศรษฐกิจ ที่ส่งผลกระทบต่อชาวอเมริกันที่ทำงานหนักกันทุกวัน โดยเฉพาะชีวิตของนักเต้น#HUSTLERS #Hustlers #HustlersMovie #TIFF19pic.twitter.com/iEtx9FVtLJ",,,,1568122562000,6:36 AM - 10 Sep 2019,/Hustlersthaisub/status/1171417047734996992,
