MovieName,PositiveTweets,NeutralTweets,NegativeTweets,PositiveFavorites,NeutralFavorites,NegativeFavorites,PositiveRetweets,NeutralRetweets,NegativeRetweets,PositiveReplies,NeutralReplies,NegativeReplies,Budget,BoxOfficeSales,ProfitPercentage
Dunkirk,3358,7723,594,69901.0,95419.0,8952.0,34908.0,57147.0,3939.0,1832.0,3230.0,419.0,150000000.0,50513488.0,0.3367565866666667
Silence,679,979,135,2751.0,2871.0,188.0,1112.0,1270.0,70.0,95.0,118.0,31.0,46500000.0,864457.0,0.01859047311827957
LadyBird,141,152,19,2143.0,363.0,69.0,626.0,121.0,15.0,51.0,18.0,4.0,10000000.0,1731828.0,0.1731828
JohnWick3,1712,2536,408,17928.0,17016.0,11727.0,3857.0,12018.0,2398.0,1697.0,1128.0,888.0,40000000.0,56818067.0,1.420451675
Hellboy,1248,2885,282,25757.0,25933.0,2247.0,4817.0,5409.0,427.0,1694.0,2126.0,128.0,50000000.0,12045147.0,0.24090294
Firstman,1130,1125,153,9504.0,11117.0,1436.0,3476.0,4536.0,306.0,891.0,667.0,81.0,60000000.0,16006065.0,0.26676775
Booksmart,2857,1310,342,39060.0,10022.0,3161.0,6670.0,1747.0,380.0,1558.0,485.0,168.0,6000000.0,6933620.0,1.1556033333333333
Aladdin,4004,4935,479,92332.0,121292.0,4768.0,22934.0,27952.0,786.0,3091.0,4119.0,238.0,182000000.0,91500929.0,0.5027523571428572
GameNight,2756,1328,623,10704.0,5828.0,2036.0,3818.0,830.0,511.0,704.0,251.0,114.0,37000000.0,17005332.0,0.4596035675675676
QuietPlace,1958,2102,363,26936.0,16133.0,1580.0,7669.0,9058.0,2556.0,1536.0,780.0,433.0,17000000.0,50203562.0,2.953150705882353
IsleOfDogs,1042,842,173,14135.0,8223.0,1923.0,3536.0,3062.0,403.0,968.0,294.0,91.0,50000000.0,1620294.0,0.03240588
ReadyPlayerOne,4238,4024,668,46758.0,51190.0,8677.0,13876.0,10247.0,993.0,3078.0,3559.0,1088.0,150000000.0,41769050.0,0.2784603333333333
