MovieName,PositiveTweets,NeutralTweets,NegativeTweets,PositiveFavorites,NeutralFavorites,NegativeFavorites,PositiveRetweets,NeutralRetweets,NegativeRetweets,PositiveReplies,NeutralReplies,NegativeReplies,Budget,BoxOfficeSales,ProfitPercentage
Crawl,184,243,59,1595.0,940.0,178.0,381.0,244.0,73.0,92.0,135.0,13.0,17000000.0,12005210.0,0.7061888235294118
Baywatch,591,1145,105,32376.0,16109.0,4953.0,6362.0,3520.0,661.0,1033.0,561.0,175.0,60000000.0,18503871.0,0.30839785
Dunkirk,3358,7723,594,69901.0,95419.0,8952.0,34908.0,57147.0,3939.0,1832.0,3230.0,419.0,150000000.0,50513488.0,0.3367565866666667
Silence,679,979,135,2751.0,2871.0,188.0,1112.0,1270.0,70.0,95.0,118.0,31.0,46500000.0,864457.0,0.01859047311827957
LadyBird,141,152,19,2143.0,363.0,69.0,626.0,121.0,15.0,51.0,18.0,4.0,10000000.0,1731828.0,0.1731828
JohnWick3,1712,2536,408,17928.0,17016.0,11727.0,3857.0,12018.0,2398.0,1697.0,1128.0,888.0,40000000.0,56818067.0,1.420451675
Hellboy,1872,4327,423,38635.0,38899.0,3370.0,7225.0,8113.0,640.0,2541.0,3189.0,192.0,50000000.0,12045147.0,0.24090294
Firstman,1130,1125,153,9504.0,11117.0,1436.0,3476.0,4536.0,306.0,891.0,667.0,81.0,60000000.0,16006065.0,0.26676775
Booksmart,2857,1310,342,39060.0,10022.0,3161.0,6670.0,1747.0,380.0,1558.0,485.0,168.0,6000000.0,6933620.0,1.1556033333333333
Aladdin,6006,7402,718,138498.0,181938.0,7152.0,34401.0,41928.0,1179.0,4636.0,6178.0,357.0,182000000.0,91500929.0,0.5027523571428572
GameNight,1929,929,436,7492.0,4079.0,1425.0,2672.0,581.0,357.0,492.0,175.0,79.0,37000000.0,17005332.0,0.4596035675675676
QuietPlace,3916,4204,726,53872.0,32266.0,3160.0,15338.0,18116.0,5112.0,3072.0,1560.0,866.0,17000000.0,50203562.0,2.953150705882353
IsleOfDogs,1042,842,173,14135.0,8223.0,1923.0,3536.0,3062.0,403.0,968.0,294.0,91.0,50000000.0,18926003.0,0.37852006
ReadyPlayerOne,3814,3621,601,42082.0,46071.0,7809.0,12488.0,9222.0,893.0,2770.0,3203.0,979.0,150000000.0,41769050.0,0.2784603333333333
